condition,Kinase,n_peptides,n_pairs,mean_diff,statistic,effect_size,p_value,p_adjusted,source_file
Neg15m_NegCTL,TEC,1,3,-0.14706117523056134,2,0.3333333333333333,0.7892680261342813,0.7992587606423102,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PDGFR,1,3,-0.14706117523056134,2,0.3333333333333333,0.7892680261342813,0.7992587606423102,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,SYK,1,3,-0.14706117523056134,2,0.3333333333333333,0.7892680261342813,0.7992587606423102,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,AXL,1,3,-0.14706117523056134,2,0.3333333333333333,0.7892680261342813,0.7992587606423102,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,VEGFR,1,3,-0.14706117523056134,2,0.3333333333333333,0.7892680261342813,0.7992587606423102,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,NAK,1,3,-0.03876788269673881,2,0.3333333333333333,0.7892680261342813,0.7992587606423102,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,BRSK,1,3,-0.07651473513754681,3,0.5,1,1,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg1h_NegCTL,PKA,53,159,-0.29338222811258563,1795,0.14111635220125787,4.17522038311043e-15,3.29842410265724e-13,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PKG,42,126,-0.2894535236497567,1212,0.15148106486689164,1.1358586706646807e-11,3.658241798088854e-10,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,RSK,65,195,-0.21887701642623086,4221,0.22087912087912087,1.3892057461096914e-11,3.658241798088854e-10,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,DMPK,76,228,-0.1849188581068316,6743,0.25829311269439975,2.485735811406831e-10,4.909328227528492e-9,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
Neg1h_NegCTL,PKCA,81,243,-0.18580802039039795,8265,0.27878971868042907,2.254076030119989e-9,3.561440127589583e-8,hpv_neg_25.13-signal_Neg1h_NegCTL-STK.csv
