Kinase,score,condition
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CHK1,-0.005,Neg15m_NegCTL
CHK1,-0.37,Neg1h_NegCTL
CHK1,0.77,Neg24h_NegCTL
CHK1,-0.17666666666666667,Neg30m_NegCTL
CHK1,-0.2891666666666667,Neg4h_NegCTL
CHK1,0.29333333333333333,Neg5m_NegCTL
CHK1,0.42583333333333334,Pos15m_PosCTL
CHK1,0.34833333333333333,Pos1h_PosCTL
