Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
CAMK1,2.524166666666667,11,KRSA,0.8633993743482794,4,CAMK,CAMK1,CAMK1,PNCK
PEK,-3.3825,7,KRSA,0.913451511991658,4,OTHER,PEK,HRI,EIF2AK1
PEK,-3.3825,7,KRSA,0.913451511991658,4,OTHER,PEK,PKR,EIF2AK2
PEK,-3.3825,7,KRSA,0.913451511991658,4,OTHER,PEK,PEK,EIF2AK3
PEK,-3.3825,7,KRSA,0.913451511991658,4,OTHER,PEK,GCN2,EIF2AK4
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,CDC2,CDK1
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,CDK10,CDK10
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,CRK7,CDK12
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,CRK7,CDK13
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,PFTAIRE,CDK14
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,PFTAIRE,CDK15
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,PCTAIRE,CDK16
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,PCTAIRE,CDK17
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,PCTAIRE,CDK18
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,CDK8,CDK19
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,CDC2,CDK2
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,CCRK,CDK20
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,CDC2,CDK3
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,CDK4,CDK4
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,CDK5,CDK5
CDK,-3.8791666666666664,4,KRSA,0.9509906152241918,4,CMGC,CDK,CDK4,CDK6
