Kinase,Peptide,LFC
PKCA,KCC2G_278_289,0.20210866404872663
PKCI,KCC2G_278_289,0.20210866404872663
PLK,KCC2G_278_289,0.20210866404872663
QIK,KCC2G_278_289,0.20210866404872663
RSK,KCC2G_278_289,0.20210866404872663
SGK,KCC2G_278_289,0.20210866404872663
VRK2,KCC2G_278_289,0.20210866404872663
AKT,KCNA1_438_450,0.7936395760904196
AMPK,KCNA1_438_450,0.7936395760904196
BARK1,KCNA1_438_450,0.7936395760904196
CAMK1,KCNA1_438_450,0.7936395760904196
CDK,KCNA1_438_450,0.7936395760904196
CK1,KCNA1_438_450,0.7936395760904196
DAPK,KCNA1_438_450,0.7936395760904196
DMPK,KCNA1_438_450,0.7936395760904196
ERK,KCNA1_438_450,0.7936395760904196
GRK,KCNA1_438_450,0.7936395760904196
IKK,KCNA1_438_450,0.7936395760904196
JNK,KCNA1_438_450,0.7936395760904196
MAPKAPK,KCNA1_438_450,0.7936395760904196
MELK,KCNA1_438_450,0.7936395760904196
NEK,KCNA1_438_450,0.7936395760904196
P38,KCNA1_438_450,0.7936395760904196
PDHK,KCNA1_438_450,0.7936395760904196
PEK,KCNA1_438_450,0.7936395760904196
PHK,KCNA1_438_450,0.7936395760904196
PKA,KCNA1_438_450,0.7936395760904196
PKCA,KCNA1_438_450,0.7936395760904196
PKD,KCNA1_438_450,0.7936395760904196
PLK,KCNA1_438_450,0.7936395760904196
QIK,KCNA1_438_450,0.7936395760904196
RAD53,KCNA1_438_450,0.7936395760904196
RIPK,KCNA1_438_450,0.7936395760904196
RSK,KCNA1_438_450,0.7936395760904196
SGK,KCNA1_438_450,0.7936395760904196
STE7,KCNA1_438_450,0.7936395760904196
STKR,KCNA1_438_450,0.7936395760904196
VRK2,KCNA1_438_450,0.7936395760904196
AKT,KCNA2_442_454,0.46915319055246424
AMPK,KCNA2_442_454,0.46915319055246424
BARK1,KCNA2_442_454,0.46915319055246424
CAMK1,KCNA2_442_454,0.46915319055246424
CAMK2,KCNA2_442_454,0.46915319055246424
CDK,KCNA2_442_454,0.46915319055246424
CHK1,KCNA2_442_454,0.46915319055246424
CK1,KCNA2_442_454,0.46915319055246424
DMPK,KCNA2_442_454,0.46915319055246424
IKK,KCNA2_442_454,0.46915319055246424
JNK,KCNA2_442_454,0.46915319055246424
MAPKAPK,KCNA2_442_454,0.46915319055246424
NEK,KCNA2_442_454,0.46915319055246424
P38,KCNA2_442_454,0.46915319055246424
PDHK,KCNA2_442_454,0.46915319055246424
PEK,KCNA2_442_454,0.46915319055246424
PHK,KCNA2_442_454,0.46915319055246424
PIM,KCNA2_442_454,0.46915319055246424
PKCA,KCNA2_442_454,0.46915319055246424
PKD,KCNA2_442_454,0.46915319055246424
QIK,KCNA2_442_454,0.46915319055246424
RAD53,KCNA2_442_454,0.46915319055246424
RIPK,KCNA2_442_454,0.46915319055246424
RSK,KCNA2_442_454,0.46915319055246424
SGK,KCNA2_442_454,0.46915319055246424
STKR,KCNA2_442_454,0.46915319055246424
VRK2,KCNA2_442_454,0.46915319055246424
AKT,KCNA3_461_473,0.3878168774586157
AMPK,KCNA3_461_473,0.3878168774586157
BARK1,KCNA3_461_473,0.3878168774586157
CAMK1,KCNA3_461_473,0.3878168774586157
CDK,KCNA3_461_473,0.3878168774586157
CHK1,KCNA3_461_473,0.3878168774586157
CK1,KCNA3_461_473,0.3878168774586157
DMPK,KCNA3_461_473,0.3878168774586157
IKK,KCNA3_461_473,0.3878168774586157
JNK,KCNA3_461_473,0.3878168774586157
KHS,KCNA3_461_473,0.3878168774586157
MAPKAPK,KCNA3_461_473,0.3878168774586157
MARK,KCNA3_461_473,0.3878168774586157
MST,KCNA3_461_473,0.3878168774586157
P38,KCNA3_461_473,0.3878168774586157
PAKA,KCNA3_461_473,0.3878168774586157
PDHK,KCNA3_461_473,0.3878168774586157
PDK1,KCNA3_461_473,0.3878168774586157
PEK,KCNA3_461_473,0.3878168774586157
PHK,KCNA3_461_473,0.3878168774586157
PKA,KCNA3_461_473,0.3878168774586157
PKCA,KCNA3_461_473,0.3878168774586157
PKD,KCNA3_461_473,0.3878168774586157
PKG,KCNA3_461_473,0.3878168774586157
PLK,KCNA3_461_473,0.3878168774586157
QIK,KCNA3_461_473,0.3878168774586157
RAD53,KCNA3_461_473,0.3878168774586157
RSK,KCNA3_461_473,0.3878168774586157
STE7,KCNA3_461_473,0.3878168774586157
VRK2,KCNA3_461_473,0.3878168774586157
AMPK,KCNB1_489_501,0.03876788269673881
BARK1,KCNB1_489_501,0.03876788269673881
CAMK1,KCNB1_489_501,0.03876788269673881
CAMK2,KCNB1_489_501,0.03876788269673881
CDK,KCNB1_489_501,0.03876788269673881
CHK1,KCNB1_489_501,0.03876788269673881
CK1,KCNB1_489_501,0.03876788269673881
CK2,KCNB1_489_501,0.03876788269673881
DAPK,KCNB1_489_501,0.03876788269673881
DMPK,KCNB1_489_501,0.03876788269673881
GRK,KCNB1_489_501,0.03876788269673881
IKK,KCNB1_489_501,0.03876788269673881
MAPKAPK,KCNB1_489_501,0.03876788269673881
MELK,KCNB1_489_501,0.03876788269673881
MLCK,KCNB1_489_501,0.03876788269673881
MLK,KCNB1_489_501,0.03876788269673881
MST,KCNB1_489_501,0.03876788269673881
NAK,KCNB1_489_501,0.03876788269673881
NEK,KCNB1_489_501,0.03876788269673881
PDHK,KCNB1_489_501,0.03876788269673881
PEK,KCNB1_489_501,0.03876788269673881
PHK,KCNB1_489_501,0.03876788269673881
PIM,KCNB1_489_501,0.03876788269673881
PKA,KCNB1_489_501,0.03876788269673881
PKCA,KCNB1_489_501,0.03876788269673881
PKCD,KCNB1_489_501,0.03876788269673881
PKD,KCNB1_489_501,0.03876788269673881
QIK,KCNB1_489_501,0.03876788269673881
RIPK,KCNB1_489_501,0.03876788269673881
RSK,KCNB1_489_501,0.03876788269673881
